1;1;1;65535;0;0;65535;21845;null;null;null
2;1;2;65535;0;0;65535;21845;null;null;null
3;1;3;65535;0;0;65535;21845;null;null;null
4;1;4;65535;0;0;65535;21845;null;null;null
5;1;5;65535;0;0;65535;21845;null;null;null
6;1;6;65535;0;0;65535;21845;null;null;null
7;1;7;65535;0;0;65535;21845;null;null;null
8;2;1;0;65535;0;65535;0;null;null;null
9;2;2;0;65535;0;65535;0;null;null;null
10;2;3;0;65535;0;65535;0;null;null;null
11;2;4;0;65535;0;65535;0;null;null;null
12;2;5;0;65535;0;65535;0;null;null;null
13;2;6;0;65535;0;65535;0;null;null;null
14;2;7;0;0;65535;65535;0;null;null;null
1;1;1;65535;0;0;65535;21845;null;null;null
2;1;2;65535;0;0;65535;21845;null;null;null
3;1;3;65535;0;0;65535;21845;null;null;null
4;1;4;65535;0;0;65535;21845;null;null;null
5;1;5;65535;0;0;65535;21845;null;null;null
6;1;6;65535;0;0;65535;21845;null;null;null
7;1;7;65535;0;0;65535;21845;null;null;null
8;2;1;0;65535;0;65535;21845;null;null;null
9;2;2;0;65535;0;65535;21845;null;null;null
10;2;3;0;65535;0;65535;21845;null;null;null
11;2;4;0;65535;0;65535;21845;null;null;null
12;2;5;0;65535;0;65535;21845;null;null;null
13;2;6;0;65535;0;65535;21845;null;null;null
14;2;7;0;0;65535;65535;21845;null;null;null
1;1;1;0;0;0;65535;0;null;null;null
2;1;2;21588;21588;21588;65535;21588;null;null;null
3;1;3;43176;43176;43176;65535;43176;null;null;null
4;1;4;65535;65535;65535;65535;65535;null;null;null
5;1;5;65535;0;0;65535;21845;null;null;null
6;1;6;0;65535;0;65535;21845;null;null;null
7;1;7;0;0;65535;65535;21845;null;null;null
8;2;1;61166;61166;61166;65535;61166;null;null;null
9;2;2;50886;58596;35466;65535;48316;null;null;null
10;2;3;31354;51914;28527;65535;37265;null;null;null
11;2;4;9252;39578;15163;65535;21331;null;null;null
12;2;5;6682;24672;10023;65535;13792;null;null;null
13;2;6;0;0;0;65535;0;null;null;null
14;2;7;65535;65535;65535;65535;65535;null;null;null
1;1;1;0;0;0;65535;0;null;null;null
2;1;2;21588;21588;21588;65535;21588;null;null;null
3;1;3;43176;43176;43176;65535;43176;null;null;null
4;1;4;65535;65535;65535;65535;65535;null;null;null
5;1;5;65535;0;0;65535;21845;null;null;null
6;1;6;0;65535;0;65535;21845;null;null;null
7;1;7;0;0;65535;65535;21845;null;null;null
8;2;1;61166;61166;61166;65535;61166;null;null;null
9;2;2;50886;58596;35466;65535;48316;null;null;null
10;2;3;31354;51914;28527;65535;37265;null;null;null
11;2;4;9252;39578;15163;65535;21331;null;null;null
12;2;5;6682;24672;10023;65535;13792;null;null;null
13;2;6;0;0;0;65535;0;null;null;null
14;2;7;65535;65535;65535;65535;65535;null;null;null
1;1;1;0;0;0;65535;0;null;null;null
2;1;2;21588;21588;21588;65535;3;null;null;null
3;1;3;43176;43176;43176;65535;0;null;null;null
4;1;4;65535;65535;65535;65535;0;null;null;null
5;1;5;65535;0;0;65535;3;null;null;null
6;1;6;0;65535;0;65535;3;null;null;null
7;1;7;0;0;65535;65535;3;null;null;null
8;2;1;61166;61166;61166;65535;0;null;null;null
9;2;2;50886;58596;35466;65535;1;null;null;null
10;2;3;31354;51914;28527;65535;2;null;null;null
11;2;4;9252;39578;15163;65535;3;null;null;null
12;2;5;6682;24672;10023;65535;4;null;null;null
13;2;6;0;0;0;65535;0;null;null;null
14;2;7;65535;65535;65535;65535;0;null;null;null
1;1;1;0;0;0;65535;0;null;null;null
2;1;2;21588;21588;21588;65535;3;null;null;null
3;1;3;43176;43176;43176;65535;0;null;null;null
4;1;4;65535;65535;65535;65535;0;null;null;null
5;1;5;65535;0;0;65535;3;null;null;null
6;1;6;0;65535;0;65535;3;null;null;null
7;1;7;0;0;65535;65535;3;null;null;null
8;2;1;61166;61166;61166;65535;0;null;null;null
9;2;2;50886;58596;35466;65535;1;null;null;null
10;2;3;31354;51914;28527;65535;2;null;null;null
11;2;4;9252;39578;15163;65535;3;null;null;null
12;2;5;6682;24672;10023;65535;4;null;null;null
13;2;6;0;0;0;65535;0;null;null;null
14;2;7;65535;65535;65535;65535;0;null;null;null
